0.5147	2.1623	2.1524	2.2221	2.2061	2.1827	2.1582	2.2112	2.1927	2.2101	2.1703	2.2229	2.1975	2.2172	2.20332.1882	2.1600	2.1864	2.1862	2.1658	2.1509	2.1828	2.2067	2.1762	2.1513	2.1568	2.1599	2.1693	2.2043	2.18632.1918	2.1571	2.1648	2.1705	2.1435	2.1702	2.1819	2.1710	2.1824	2.1608	2.1486	2.1485	2.2008	2.1893	2.22682.1705	2.1821	2.2312	
2.1751	0.5861	1.9008	2.1754	2.1429	2.0754	2.0076	2.1596	2.1269	2.1483	2.0460	2.1842	2.1861	2.2089	2.14232.1176	1.9951	2.1129	2.0665	2.0084	1.9076	2.0604	2.1494	2.0813	1.8937	1.9398	1.9659	2.0380	2.1348	2.09132.1082	1.9101	2.0103	2.0023	1.9319	2.0384	2.0654	2.0479	2.0527	1.9730	1.8731	1.8825	2.1380	2.1042	2.18692.1919	2.2009	2.1956	
2.1677	1.9065	0.6368	2.1624	2.1231	2.0346	1.9470	2.1447	2.1057	2.1292	2.0031	2.1757	2.1828	2.2103	2.12452.0976	1.9291	2.0905	2.0215	1.9445	1.7941	2.0165	2.1352	2.0492	1.7833	1.8475	1.8844	1.9891	2.1139	2.06052.0802	1.8175	1.9496	1.9369	1.8461	1.9906	2.0230	2.0005	2.0026	1.8929	1.7511	1.7670	2.1193	2.0734	2.17772.1897	2.2001	2.1881	
2.2277	2.1671	2.1524	0.4710	2.1763	2.1913	2.1620	2.2241	2.2023	2.2201	2.1767	2.2275	2.2242	2.2385	2.21462.1935	2.1646	2.1941	2.1887	2.1711	2.1497	2.1890	2.2183	2.1859	2.1506	2.1584	2.1635	2.1731	2.2131	2.19342.2015	2.1584	2.1670	2.1759	2.1439	2.1774	2.1898	2.1766	2.1897	2.1635	2.1461	2.1464	2.2114	2.1972	2.24172.2301	2.2368	2.2443	
2.2162	2.1364	2.1146	2.1839	0.4968	2.1690	2.1315	2.2093	2.1854	2.2052	2.1520	2.2169	2.2155	2.2310	2.19902.1758	2.1325	2.1774	2.1587	2.1406	2.1060	2.1637	2.2013	2.1647	2.1094	2.1208	2.1269	2.1462	2.1955	2.17112.1821	2.1213	2.1378	2.1476	2.1050	2.1508	2.1645	2.1515	2.1633	2.1287	2.1031	2.1049	2.1943	2.1771	2.22852.2213	2.2281	2.2336	
2.1933	2.0693	2.0256	2.1957	2.1692	0.6093	2.0651	2.1760	2.1535	2.1670	2.0974	2.1973	2.1980	2.2187	2.16072.1412	2.0590	2.1385	2.1138	2.0533	1.9811	2.1107	2.1698	2.1203	2.0131	2.0347	2.0236	2.0780	2.1587	2.13182.1318	2.0356	2.0715	2.0851	2.0155	2.0913	2.1129	2.0961	2.0925	2.0277	1.9990	2.0042	2.1568	2.1398	2.20072.2052	2.2134	2.2084	
2.1727	2.0071	1.9425	2.1718	2.1371	2.0724	0.6171	2.1573	2.1232	2.1460	2.0463	2.1796	2.1847	2.2085	2.13952.1131	1.9903	2.1108	2.0621	2.0055	1.9033	2.0591	2.1470	2.0794	1.9219	1.9513	1.9627	2.0353	2.1312	2.08932.1056	1.9584	2.0103	2.0280	1.9290	2.0372	2.0617	2.0424	2.0490	1.9698	1.9036	1.9128	2.1352	2.1014	2.18472.1908	2.1998	2.1938	
2.2161	2.1490	2.1315	2.2228	2.2055	2.1696	2.1460	0.4919	2.1900	2.0984	2.1629	2.2222	2.2152	2.2302	2.11982.1833	2.1456	2.1798	2.1770	2.1457	2.1183	2.1728	2.2053	2.1712	2.1293	2.1390	2.1356	2.1543	2.1989	2.18162.1806	2.1376	2.1504	2.1597	2.1222	2.1609	2.1745	2.1615	2.1688	2.1367	2.1239	2.1246	2.1952	2.1854	1.93612.2210	2.2284	1.9730	
2.2047	2.1236	2.1011	2.2106	2.1908	2.1560	2.1221	2.1992	0.5554	2.1955	2.1410	2.2139	2.2072	2.2224	2.19002.1722	2.1203	2.1669	2.1555	2.1288	2.0932	2.1515	2.1951	2.1545	2.0970	2.1096	2.1144	2.1364	2.1868	2.16332.1726	2.1077	2.1265	2.1353	2.0936	2.1381	2.1537	2.1401	2.1519	2.1149	2.0891	2.0909	2.1877	2.1683	2.21762.2117	2.2195	2.2222	
2.2199	2.1464	2.1261	2.2222	2.2079	2.1688	2.1438	2.1124	2.1919	0.4935	2.1621	2.2224	2.2203	2.2354	2.11202.1846	2.1428	2.1798	2.1774	2.1422	2.1096	2.1725	2.2082	2.1717	2.1231	2.1343	2.1306	2.1524	2.2006	2.18292.1809	2.1329	2.1485	2.1584	2.1166	2.1594	2.1738	2.1604	2.1677	2.1314	2.1167	2.1181	2.1973	2.1859	2.15792.2252	2.2329	2.1707	
